eventID,year,month,day,hour,minute,second,latitude,longitude,depth,,,sigmaMagnitude,magnitude,location,Ref.,RMS(sec),Mag,Error,Depth,Error,Duplicate,Type
133,1995,1,27,19,16,34.6,5.45,-0.3,18,,,0.3,2.2,ISC,,,,,,,,
134,1995,1,28,20,21,52.5,5.77,-0.66,10,,,0.3,2.3,ISC,,,,,,,,
135,1995,1,28,20,33,3.6,5.5,-0.36,14,,,0.3,2.3,ISC,,,,,,,,
136,1995,1,28,20,36,26.3,4.29,-0.56,34,,,0.3,3.1,ISC,,,,,,,,
137,1995,1,28,20,38,5.0,5.25,-0.52,2,,,0.3,3.2,ISC,,,,,,,,
138,1995,2,1,3,43,33.6,5.53,-0.4,21,,,0.3,1.6,ISC,,,,,,,,
139,1995,2,1,3,44,32.2,5.53,-0.4,4,,,0.3,1.6,ISC,,,,,,,,
140,1995,2,1,3,44,45.9,5.5,-0.21,34,,,0.3,2.5,ISC,,,,,,,,
141,1995,2,1,3,45,13.9,5.63,-0.45,7,,,0.3,3.5,ISC,,,,,,,,
142,1995,2,1,3,58,35.1,5.47,-0.17,34,,,0.3,2.5,ISC,,,,,,,,
143,1995,2,1,4,0,27.4,5.37,0.35,27,,,0.3,3.7,ISC,,,,,,,,
144,1995,2,2,20,58,51.4,5.53,-0.47,11,,,0.3,1.6,ISC,,,,,,,,
145,1995,3,9,18,55,39.5,5.68,-0.52,2,,,0.3,3.2,ISC,,,,,,,,
146,1995,5,3,15,25,21.1,5.55,-0.3,11,,,0.3,2.3,GSD,,,,,,,,
147,1995,6,27,19,19,20.7,5.52,-0.26,10,,,0.3,2.2,GSD,,,,,,,,
148,1995,10,12,9,41,15.1,5.5,-0.24,7,,,0.3,2.3,GSD,,,,,,,,
149,1995,10,27,17,6,56.9,5.5,-0.35,12,,,0.3,4.4,GSD,,,,,,,,
150,1995,12,3,8,3,17.8,5.75,-4.49,2,,,0.3,2.2,ISC,,,,,,,,
151,1996,2,21,13,41,9.4,5.57,0.06,10,,,0.3,1.9,GSD,,,,,,,,
152,1996,2,22,7,25,21.6,5.58,-0.45,11,,,0.3,3.8,GSD,,,,,,,,
153,1996,2,23,9,15,44.3,5.28,-1.42,25,,,0.3,2.7,ISC,,,,,,,,
154,1996,6,29,6,48,42.2,5.83,-0.08,18,,,0.3,1,GSD,,,,,,,,
155,1996,7,5,5,21,41.9,5.43,-0.34,9,,,0.3,3.1,GSD,,,,,,,,
156,1996,8,2,17,5,0.3,5.44,-0.48,16,,,0.3,2.2,GSD,,,,,,,,
157,1996,8,2,14,31,22.3,5.44,-0.47,14,,,0.3,2,GSD,,,,,,,,
158,1996,8,2,14,22,53.9,5.52,-0.49,18,,,0.3,2.2,GSD,,,,,,,,
159,1996,8,31,15,44,19.0,5.44,-0.43,14,,,0.3,2.9,GSD,,,,,,,,
160,1996,9,12,1,31,35.7,5.62,-0.27,15,,,0.3,2,GSD,,,,,,,,
161,1996,9,21,8,48,17.8,5.47,-0.27,12,,,0.3,2.2,GSD,,,,,,,,
162,1996,10,8,10,2,7.4,5.67,-0.32,13,,,0.3,1.9,GSD,,,,,,,,
163,1996,10,21,5,45,23.2,5.82,-0.35,18,,,0.3,3.5,GSD,,,,,,,,
164,1997,1,8,7,40,48.8,5.83,0.15,2,,,0.3,2,ISC,,,,,,,,
165,1997,1,14,5,1,58.6,5.52,-0.43,7,,,0.3,1.2,GSD,,,,,,,,
166,1997,2,14,23,29,51.5,7.02,-0.75,10,,,0.3,3.8,ISC,,,,,,,,
167,1997,2,14,6,6,5.0,5.55,-0.34,13,,,0.3,1,GSD,,,,,,,,
168,1997,3,6,15,16,20.1,5.59,-0.23,10,,,0.3,4.4,ISC,,,,,,,,
169,1997,3,6,8,45,14.1,5.6,-0.38,12,,,0.3,1.9,GSD,,,,,,,,
170,1997,3,6,10,49,19.0,5.65,-0.38,10,,,0.3,1.5,GSD,,,,,,,,
171,1997,3,13,23,12,58.8,5.65,-0.34,8,,,0.3,1.9,GSD,,,,,,,,
172,1997,3,13,1,8,32.7,5.62,-0.34,13,,,0.3,1.6,GSD,,,,,,,,
173,1997,3,21,23,49,44.8,5.64,-0.39,8,,,0.3,1,GSD,,,,,,,,
174,1997,3,27,4,38,50.3,5.58,0.3,7,,,0.3,1.3,GSD,,,,,,,,
175,1997,3,27,16,1,9.9,5.62,-0.34,13,,,0.3,2,GSD,,,,,,,,
176,1997,7,12,14,53,54.0,5.72,-0.16,10,,,0.3,1,GSD,,,,,,,,
177,1997,9,24,16,31,6.2,5.6,-0.33,11,,,0.3,2,GSD,,,,,,,,
178,1998,1,27,8,33,44.5,5.75,0.01,15,,,0.3,2.5,GSD,,,,,,,,
179,1998,11,19,14,36,43.6,5.72,0.28,17,,,0.3,2.5,GSD,,,,,,,,
180,1998,11,25,19,45,42.9,5.77,0.18,7,,,0.3,2.7,GSD,,,,,,,,
181,1998,12,23,0,51,7.9,5.25,-0.22,12,,,0.3,2.5,GSD,,,,,,,,
182,1999,1,20,2,23,26.6,5.35,0,14,,,0.3,2.6,GSD,,,,,,,,
183,1999,5,19,23,5,30.4,5.79,-0.25,10,,,0.3,2.9,GSD,,,,,,,,
184,1999,5,19,19,44,31.7,5.64,0.13,13,,,0.3,2.2,GSD,,,,,,,,
185,1999,8,22,12,20,51.4,6.1,-1.29,9,,,0.3,3,GSD,,,,,,,,
186,1999,10,30,11,50,40.5,5.79,0.29,10,,,0.3,2.8,GSD,,,,,,,,
187,2000,1,30,21,22,48.1,5.3,-0.32,12,,,0.3,2.7,GSD,,,,,,,,
188,2000,3,7,15,53,31.7,6.29,5.07,10,,,0.3,4.4,ISC,,,,,,,,
189,2000,4,17,14,53,57.1,6.59,0.48,15,,,0.3,2.6,GSD,,,,,,,,
190,2000,6,8,16,15,3.9,5.32,-0.01,10,,,0.3,2.7,GSD,,,,,,,,
191,2000,7,9,8,19,32.3,5.48,-0.14,13,,,0.3,2.6,GSD,,,,,,,,
